"Account summary: Opening balance ₹1,00,000. Closing: ₹1,24,300.",Finance
"Monthly EMI for car loan ₹9,245 auto-debited on 3rd.",Finance
"Stock purchase: 20 shares of Reliance at ₹2,500 each.",Finance
"Insurance premium receipt for ₹5,230. Valid till Jan 2026.",Finance
"GST filing status: Filed and acknowledged for Q1.",Finance
"This contract is made under the Indian Contract Act, 1872.",Legal
"Party A agrees to transfer ownership to Party B effective immediately.",Legal
"Affidavit signed before magistrate under oath.",Legal
"Notice served under Section 80 of the Civil Procedure Code.",Legal
"Agreement subject to arbitration in case of dispute.",Legal
"Lease deed executed for 11 months with registered stamp.",Legal
"Clause 12 states termination can occur with 30 days' notice.",Legal
"Legal heir certificate requested post demise of Mr. Sharma.",Legal
"RTI filed under Act 2005 seeking public records.",Legal
"Power of Attorney granted to Mr. Vinod for all transactions.",Legal
"Zoher Shakir | B.Tech CSE | Python, SQL, HTML | 2025 Graduate",Notes
"Software Developer Intern at XYZ Pvt. Ltd. | June–August 2024",Notes
"Projects: Personal Portfolio Website, Machine Learning Classifier",Notes
"Education: SDBC Indore | 2021–2025 | GPA: 8.9",Notes
"Skills: TensorFlow, MySQL, CSS, Flask, Data Visualization",Notes
"Awards: Olympiad Rank 1, Inter-school Football Champion",Notes
"Languages: English, Hindi, Arabic (basic)",Notes
"LinkedIn: linkedin.com/in/zoher-shakir | GitHub: github.com/ZohairShakir",Notes
"Objective: To leverage my skills in AI/ML to solve real-world problems.",Notes
"Interests: Poetry, Chess, Maths, Tech Debates",Notes
"Reminder: Buy groceries and finish essay by Sunday.",Others
"To-do: 1. Call dentist. 2. Complete portfolio. 3. Wash shoes.",Others
"Poem draft: In silence I found the loudest echo.",Others
"“Don’t forget to carry umbrella” — mom's message",Others
"Backed up laptop files to external drive.",Others
"Downloaded Sora AI-generated videos for review.",Others
"Design inspiration: use card layout and clean grid.",Others
"Note to self: Apply for internship before August 10.",Others
"Mind map for ML algorithms and their real-world use.",Others
"Meeting notes: Add CV prediction feature to dashboard.",Others

